"#","Date Time, GMT-08:00","Abs Pres, kPa","Temp, °C","Water Level, meters","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,03/09/17 16:00:00,111.511,13.942,1.120,Logged,,,
2,03/09/17 16:15:00,111.459,13.942,1.115,,,,
3,03/09/17 16:30:00,111.420,14.038,1.111,,,,
4,03/09/17 16:45:00,111.422,14.134,1.111,,,,
5,03/09/17 17:00:00,111.412,14.134,1.110,,,,
6,03/09/17 17:15:00,111.408,13.942,1.109,,,,
7,03/09/17 17:30:00,111.397,13.461,1.108,,,,
8,03/09/17 17:45:00,111.403,13.269,1.108,,,,
9,03/09/17 18:00:00,111.420,13.076,1.109,,,,
10,03/09/17 18:15:00,111.410,13.076,1.108,,,,
11,03/09/17 18:30:00,111.391,13.173,1.106,,,,
12,03/09/17 18:45:00,111.414,13.269,1.109,,,,
13,03/09/17 19:00:00,111.426,13.365,1.110,,,,
14,03/09/17 19:15:00,111.426,13.365,1.110,,,,
15,03/09/17 19:30:00,111.436,13.365,1.111,,,,
16,03/09/17 19:45:00,111.436,13.365,1.111,,,,
17,03/09/17 20:00:00,111.447,13.365,1.113,,,,
18,03/09/17 20:15:00,111.455,13.269,1.113,,,,
19,03/09/17 20:30:00,111.474,13.173,1.115,,,,
20,03/09/17 20:45:00,111.445,12.787,1.111,,,,
21,03/09/17 21:00:00,111.463,12.690,1.113,,,,
22,03/09/17 21:15:00,111.474,12.690,1.114,,,,
23,03/09/17 21:30:00,111.496,12.787,1.117,,,,
24,03/09/17 21:45:00,111.469,12.980,1.114,,,,
25,03/09/17 22:00:00,111.480,12.980,1.115,,,,
26,03/09/17 22:15:00,111.490,12.980,1.116,,,,
27,03/09/17 22:30:00,111.502,13.076,1.118,,,,
28,03/09/17 22:45:00,111.509,13.846,1.120,,,,
29,03/09/17 23:00:00,111.503,13.558,1.119,,,,
30,03/09/17 23:15:00,111.509,13.365,1.119,,,,
31,03/09/17 23:30:00,111.498,13.365,1.118,,,,
32,03/09/17 23:45:00,111.496,13.269,1.117,,,,
33,03/10/17 00:00:00,111.486,13.269,1.116,,,,
34,03/10/17 00:15:00,111.476,13.269,1.115,,,,
35,03/10/17 00:30:00,111.474,13.173,1.115,,,,
36,03/10/17 00:45:00,111.474,13.173,1.115,,,,
37,03/10/17 01:00:00,111.465,13.269,1.114,,,,
38,03/10/17 01:15:00,111.486,13.269,1.116,,,,
39,03/10/17 01:30:00,111.488,13.365,1.117,,,,
40,03/10/17 01:45:00,111.486,13.269,1.116,,,,
41,03/10/17 02:00:00,111.492,13.076,1.117,,,,
42,03/10/17 02:15:00,111.480,12.980,1.115,,,,
43,03/10/17 02:30:00,111.459,12.980,1.113,,,,
44,03/10/17 02:45:00,111.469,12.980,1.114,,,,
45,03/10/17 03:00:00,111.457,12.883,1.113,,,,
46,03/10/17 03:15:00,111.438,12.980,1.111,,,,
47,03/10/17 03:30:00,111.459,12.980,1.113,,,,
48,03/10/17 03:45:00,111.420,13.076,1.109,,,,
49,03/10/17 04:00:00,111.422,13.173,1.110,,,,
50,03/10/17 04:15:00,111.414,13.269,1.109,,,,
51,03/10/17 04:30:00,111.426,13.365,1.110,,,,
52,03/10/17 04:45:00,111.447,13.365,1.113,,,,
53,03/10/17 05:00:00,111.455,13.269,1.113,,,,
54,03/10/17 05:15:00,111.465,13.269,1.114,,,,
55,03/10/17 05:30:00,111.445,13.269,1.112,,,,
56,03/10/17 05:45:00,111.445,13.269,1.112,,,,
57,03/10/17 06:00:00,111.434,13.269,1.111,,,,
58,03/10/17 06:15:00,111.447,13.365,1.113,,,,
59,03/10/17 06:30:00,111.470,13.461,1.115,,,,
