"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-01","5.5",",,W","0.0",",,W",,,"27.8",",,W","13.3",",,W",,,,,,,,
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-02","3.3",",,W","0.0",",,W",,,"25.6",",,W","8.3",",,W",,,,,,,,
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-03","2.3",",,W","0.0",",,W",,,"24.4",",,W","6.1",",,W",,,,,,,,
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-04","2.1",",,W","0.0",",,W",,,"26.7",",,W","6.7",",,W",,,,,,,,
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-05","2.0",",,W","0.0",",,W",,,"27.8",",,W","7.2",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-06","0.9",",,W","0.0",",,W",,,"29.4",",,W","6.7",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-07","1.3",",,W","0.0",",,W",,,"30.6",",,W","8.9",",,W",,,,,,,,
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-08","4.1",",,W","0.0",",,W",,,"27.2",",,W","9.4",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-09","1.4",",,W","0.0",",,W",,,"27.2",",,W","6.7",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-10","2.0",",,W","0.0",",,W",,,"29.4",",,W","6.1",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-11","5.4",",,W","0.0",",,W",,,"23.9",",,W","10.0",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-12","3.5",",,W","0.0",",,W",,,"22.2",",,W","5.6",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-13","1.9",",,W","0.0",",,W",,,"24.4",",,W","3.3",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-14","1.9",",,W","0.0",",,W",,,"23.9",",,W","5.6",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-15","0.8",",,W","0.0",",,W",,,"28.3",",,W","4.4",",,W",,,,,,,"    1",",,W"
"USW00023257","MERCED MUNICIPAL AIRPORT, CA US","37.28472","-120.51278","46.3","2017-10-16","0.7",",,W","0.0",",,W",,,"28.3",",,W","5.0",",,W","    1",",,W",,,,,"    1",",,W"
