X,storm_event,precip_mm,pond_vol_gain_m3,start_date,end_date,duration,pond_vol_gain_acft,vol_gain_pct_pond,vol_gain_pct_catch
1,0,0.25,238.23,2017-11-09,2017-11-09,2017-11-09-2017-11-09,0.19,0.3,133.35
2,1,11.94,469.97,2017-11-16,2017-11-17,2017-11-16-2017-11-17,0.38,0.59,5.6
3,2,6.1,467.52,2017-11-27,2017-11-27,2017-11-27-2017-11-27,0.38,0.59,10.9
4,3,4.06,453.55,2017-12-20,2017-12-20,2017-12-20-2017-12-20,0.37,0.57,15.87
5,4,5.59,221.15,2018-01-04,2018-01-04,2018-01-04-2018-01-04,0.18,0.28,5.63
6,5,6.86,223.04,2018-01-06,2018-01-06,2018-01-06-2018-01-06,0.18,0.28,4.62
7,6,41.15,1592.18,2018-01-08,2018-01-10,2018-01-08-2018-01-10,1.29,2,5.5
8,7,0.25,231.58,2018-01-12,2018-01-12,2018-01-12-2018-01-12,0.19,0.29,129.62
9,8,0.25,230.38,2018-01-16,2018-01-16,2018-01-16-2018-01-16,0.19,0.29,128.95
10,9,3.81,230.38,2018-01-18,2018-01-19,2018-01-18-2018-01-19,0.19,0.29,8.6
11,10,0.25,0,2018-01-22,2018-01-22,2018-01-22-2018-01-22,0,0,0
12,11,2.79,228.99,2018-01-25,2018-01-25,2018-01-25-2018-01-25,0.19,0.29,11.65
13,12,0,216.25,2018-02-23,2018-02-23,2018-02-23-2018-02-23,0.18,0.27,Inf
14,13,12.19,430.66,2018-02-26,2018-02-27,2018-02-26-2018-02-27,0.35,0.54,5.02
15,14,39.62,2934.57,2018-03-01,2018-03-03,2018-03-01-2018-03-03,2.38,3.69,10.53
16,15,18.8,929.48,2018-03-13,2018-03-14,2018-03-13-2018-03-14,0.75,1.17,7.03
17,16,6.86,469.97,2018-03-16,2018-03-17,2018-03-16-2018-03-17,0.38,0.59,9.74
18,17,40.39,15204.3,2018-03-20,2018-03-22,2018-03-20-2018-03-22,12.33,19.12,53.52
19,18,8.64,595.36,2018-03-24,2018-03-24,2018-03-24-2018-03-24,0.48,0.75,9.8
20,19,28.45,3598.15,2018-04-06,2018-04-07,2018-04-06-2018-04-07,2.92,4.52,17.98
21,20,0.76,303.65,2018-04-12,2018-04-12,2018-04-12-2018-04-12,0.25,0.38,56.65
22,21,10.67,603.96,2018-04-16,2018-04-17,2018-04-16-2018-04-17,0.49,0.76,8.05
23,22,0.25,293.03,2018-05-02,2018-05-02,2018-05-02-2018-05-02,0.24,0.37,164.02
24,23,1.52,275.16,2018-05-25,2018-05-25,2018-05-25-2018-05-25,0.22,0.35,25.67
