"","x$Date","WSEmax","VOLUME","lag","vol_chg","inflow"
"1",2017-11-06,121.9,11523.4896144867,NA,NA,NA
"2",2017-11-07,121.9,11523.4896144867,11523.4896144867,0,0
"3",2017-11-08,121.89,11284.0478878021,11523.4896144867,-239.44172668457,0
"4",2017-11-09,121.89,11284.0478878021,11284.0478878021,0,0
"5",2017-11-10,121.88,11045.8146629333,11284.0478878021,-238.233224868774,0
"6",2017-11-11,121.88,11045.8146629333,11045.8146629333,0,0
"7",2017-11-12,121.87,10808.8109302521,11045.8146629333,-237.003732681274,0
"8",2017-11-13,121.87,10808.8109302521,10808.8109302521,0,0
"9",2017-11-14,121.87,10808.8109302521,10808.8109302521,0,0
"10",2017-11-15,121.87,10808.8109302521,10808.8109302521,0,0
"11",2017-11-16,121.87,10808.8109302521,10808.8109302521,0,0
"12",2017-11-17,121.87,10808.8109302521,10808.8109302521,0,0
"13",2017-11-18,121.87,10808.8109302521,10808.8109302521,0,0
"14",2017-11-19,121.87,10808.8109302521,10808.8109302521,0,0
"15",2017-11-20,121.86,10573.2529449463,10808.8109302521,-235.557985305786,0
"16",2017-11-21,121.86,10573.2529449463,10573.2529449463,0,0
"17",2017-11-22,121.86,10573.2529449463,10573.2529449463,0,0
"18",2017-11-23,121.86,10573.2529449463,10573.2529449463,0,0
"19",2017-11-24,121.86,10573.2529449463,10573.2529449463,0,0
"20",2017-11-25,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"21",2017-11-26,121.85,10338.8450679779,10338.8450679779,0,0
"22",2017-11-27,121.86,10573.2529449463,10338.8450679779,234.407876968384,0.00271305413157852
"23",2017-11-28,121.85,10338.8450679779,10573.2529449463,-234.407876968384,0
"24",2017-11-29,121.85,10338.8450679779,10338.8450679779,0,0
"25",2017-11-30,121.84,10105.7320575714,10338.8450679779,-233.113010406494,0
"26",2017-12-01,121.84,10105.7320575714,10105.7320575714,0,0
"27",2017-12-02,121.84,10105.7320575714,10105.7320575714,0,0
"28",2017-12-03,121.84,10105.7320575714,10105.7320575714,0,0
"29",2017-12-04,121.84,10105.7320575714,10105.7320575714,0,0
"30",2017-12-05,121.84,10105.7320575714,10105.7320575714,0,0
"31",2017-12-06,121.83,9874.15048027039,10105.7320575714,-231.581577301025,0
"32",2017-12-07,121.83,9874.15048027039,9874.15048027039,0,0
"33",2017-12-08,121.83,9874.15048027039,9874.15048027039,0,0
"34",2017-12-09,121.82,9643.77219772339,9874.15048027039,-230.378282546997,0
"35",2017-12-10,121.82,9643.77219772339,9643.77219772339,0,0
"36",2017-12-11,121.82,9643.77219772339,9643.77219772339,0,0
"37",2017-12-12,121.82,9643.77219772339,9643.77219772339,0,0
"38",2017-12-13,121.81,9414.78351593018,9643.77219772339,-228.988681793213,0
"39",2017-12-14,121.81,9414.78351593018,9414.78351593018,0,0
"40",2017-12-15,121.81,9414.78351593018,9414.78351593018,0,0
"41",2017-12-16,121.81,9414.78351593018,9414.78351593018,0,0
"42",2017-12-17,121.8,9187.21334838867,9414.78351593018,-227.570167541504,0
"43",2017-12-18,121.8,9187.21334838867,9187.21334838867,0,0
"44",2017-12-19,121.8,9187.21334838867,9187.21334838867,0,0
"45",2017-12-20,121.81,9414.78351593018,9187.21334838867,227.570167541504,0.00263391397617481
"46",2017-12-21,121.8,9187.21334838867,9414.78351593018,-227.570167541504,0
"47",2017-12-22,121.79,8961.23330497742,9187.21334838867,-225.980043411255,0
"48",2017-12-23,121.8,9187.21334838867,8961.23330497742,225.980043411255,0.00261550976170434
"49",2017-12-24,121.79,8961.23330497742,9187.21334838867,-225.980043411255,0
"50",2017-12-25,121.79,8961.23330497742,8961.23330497742,0,0
"51",2017-12-26,121.79,8961.23330497742,8961.23330497742,0,0
"52",2017-12-27,121.79,8961.23330497742,8961.23330497742,0,0
"53",2017-12-28,121.78,8736.58673477173,8961.23330497742,-224.646570205688,0
"54",2017-12-29,121.78,8736.58673477173,8736.58673477173,0,0
"55",2017-12-30,121.78,8736.58673477173,8736.58673477173,0,0
"56",2017-12-31,121.78,8736.58673477173,8736.58673477173,0,0
"57",2018-01-01,121.78,8736.58673477173,8736.58673477173,0,0
"58",2018-01-02,121.77,8513.54809379578,8736.58673477173,-223.038640975952,0
"59",2018-01-03,121.77,8513.54809379578,8513.54809379578,0,0
"60",2018-01-04,121.77,8513.54809379578,8513.54809379578,0,0
"61",2018-01-05,121.77,8513.54809379578,8513.54809379578,0,0
