Order,DateTime,PT_kPa,WaterTemp_c,Baro_kPa,PT_Depth_m,Adjusted_PTDepth,Adjusted_WSE
1,2017-11-06T13:00:00Z,103.953,14.613,100.43,0.36,0.41,121.88199999999999
2,2017-11-06T13:15:00Z,103.972,14.517,100.411,0.363,0.413,121.88499999999999
3,2017-11-06T13:30:00Z,104.019,14.325,100.4,0.369,0.419,121.89099999999999
4,2017-11-06T13:45:00Z,104.03,14.325,100.383,0.372,0.422,121.89399999999999
5,2017-11-06T14:00:00Z,104.04,14.325,100.375,0.374,0.424,121.896
6,2017-11-06T14:15:00Z,104.007,14.23,100.37,0.371,0.421,121.893
7,2017-11-06T14:30:00Z,104.018,14.23,100.373,0.372,0.422,121.89399999999999
8,2017-11-06T14:45:00Z,104.009,14.325,100.378,0.371,0.421,121.893
9,2017-11-06T15:00:00Z,104.021,14.421,100.393,0.37,0.42,121.892
10,2017-11-06T15:15:00Z,104.032,14.421,100.396,0.371,0.421,121.893
11,2017-11-06T15:30:00Z,104.035,14.613,100.39,0.372,0.422,121.89399999999999
12,2017-11-06T15:45:00Z,104.017,14.709,100.388,0.37,0.42,121.892
13,2017-11-06T16:00:00Z,104.017,14.709,100.379,0.371,0.421,121.893
14,2017-11-06T16:15:00Z,104.017,14.709,100.388,0.37,0.42,121.892
15,2017-11-06T16:30:00Z,104.017,14.709,100.39,0.37,0.42,121.892
16,2017-11-06T16:45:00Z,104.017,14.709,100.365,0.373,0.423,121.895
17,2017-11-06T17:00:00Z,104.037,14.709,100.393,0.372,0.422,121.89399999999999
18,2017-11-06T17:15:00Z,104.037,14.709,100.388,0.372,0.422,121.89399999999999
19,2017-11-06T17:30:00Z,104.037,14.709,100.402,0.371,0.421,121.893
20,2017-11-06T17:45:00Z,104.068,14.709,100.413,0.373,0.423,121.895
21,2017-11-06T18:00:00Z,104.078,14.709,100.439,0.371,0.421,121.893
22,2017-11-06T18:15:00Z,104.078,14.709,100.455,0.37,0.42,121.892
23,2017-11-06T18:30:00Z,104.089,14.709,100.445,0.372,0.422,121.89399999999999
24,2017-11-06T18:45:00Z,104.078,14.709,100.459,0.369,0.419,121.89099999999999
25,2017-11-06T19:00:00Z,104.099,14.709,100.459,0.372,0.422,121.89399999999999
26,2017-11-06T19:15:00Z,104.099,14.709,100.458,0.372,0.422,121.89399999999999
27,2017-11-06T19:30:00Z,104.089,14.709,100.461,0.37,0.42,121.892
28,2017-11-06T19:45:00Z,104.087,14.613,100.477,0.369,0.419,121.89099999999999
29,2017-11-06T20:00:00Z,104.085,14.517,100.471,0.369,0.419,121.89099999999999
30,2017-11-06T20:15:00Z,104.083,14.421,100.471,0.369,0.419,121.89099999999999
31,2017-11-06T20:30:00Z,104.081,14.325,100.487,0.367,0.417,121.889
32,2017-11-06T20:45:00Z,104.11,14.23,100.493,0.369,0.419,121.89099999999999
33,2017-11-06T21:00:00Z,104.108,14.134,100.492,0.369,0.419,121.89099999999999
34,2017-11-06T21:15:00Z,104.137,14.038,100.505,0.371,0.421,121.893
