Order,DateTime,PT_kPa,WaterTemp_c,PT_Depth_m,Adjusted_PTDepth,Adjusted_WSE
1,2017-03-09T16:00:00Z,111.511,13.942,1.12,1.12,123.66
2,2017-03-09T16:15:00Z,111.459,13.942,1.115,1.115,123.66
3,2017-03-09T16:30:00Z,111.42,14.038,1.111,1.111,123.65
4,2017-03-09T16:45:00Z,111.422,14.134,1.111,1.111,123.65
5,2017-03-09T17:00:00Z,111.412,14.134,1.11,1.11,123.65
6,2017-03-09T17:15:00Z,111.408,13.942,1.109,1.109,123.65
7,2017-03-09T17:30:00Z,111.397,13.461,1.108,1.108,123.65
8,2017-03-09T17:45:00Z,111.403,13.269,1.108,1.108,123.65
9,2017-03-09T18:00:00Z,111.42,13.076,1.109,1.109,123.65
10,2017-03-09T18:15:00Z,111.41,13.076,1.108,1.108,123.65
11,2017-03-09T18:30:00Z,111.391,13.173,1.106,1.106,123.65
12,2017-03-09T18:45:00Z,111.414,13.269,1.109,1.109,123.65
13,2017-03-09T19:00:00Z,111.426,13.365,1.11,1.11,123.65
14,2017-03-09T19:15:00Z,111.426,13.365,1.11,1.11,123.65
15,2017-03-09T19:30:00Z,111.436,13.365,1.111,1.111,123.65
16,2017-03-09T19:45:00Z,111.436,13.365,1.111,1.111,123.65
17,2017-03-09T20:00:00Z,111.447,13.365,1.113,1.113,123.65
18,2017-03-09T20:15:00Z,111.455,13.269,1.113,1.113,123.65
19,2017-03-09T20:30:00Z,111.474,13.173,1.115,1.115,123.66
20,2017-03-09T20:45:00Z,111.445,12.787,1.111,1.111,123.65
21,2017-03-09T21:00:00Z,111.463,12.69,1.113,1.113,123.65
22,2017-03-09T21:15:00Z,111.474,12.69,1.114,1.114,123.65
23,2017-03-09T21:30:00Z,111.496,12.787,1.117,1.117,123.66
24,2017-03-09T21:45:00Z,111.469,12.98,1.114,1.114,123.65
25,2017-03-09T22:00:00Z,111.48,12.98,1.115,1.115,123.66
26,2017-03-09T22:15:00Z,111.49,12.98,1.116,1.116,123.66
27,2017-03-09T22:30:00Z,111.502,13.076,1.118,1.118,123.66
28,2017-03-09T22:45:00Z,111.509,13.846,1.12,1.12,123.66
29,2017-03-09T23:00:00Z,111.503,13.558,1.119,1.119,123.66
30,2017-03-09T23:15:00Z,111.509,13.365,1.119,1.119,123.66
31,2017-03-09T23:30:00Z,111.498,13.365,1.118,1.118,123.66
32,2017-03-09T23:45:00Z,111.496,13.269,1.117,1.117,123.66
33,2017-03-10T00:00:00Z,111.486,13.269,1.116,1.116,123.66
34,2017-03-10T00:15:00Z,111.476,13.269,1.115,1.115,123.66
35,2017-03-10T00:30:00Z,111.474,13.173,1.115,1.115,123.66
36,2017-03-10T00:45:00Z,111.474,13.173,1.115,1.115,123.66
37,2017-03-10T01:00:00Z,111.465,13.269,1.114,1.114,123.65
38,2017-03-10T01:15:00Z,111.486,13.269,1.116,1.116,123.66
39,2017-03-10T01:30:00Z,111.488,13.365,1.117,1.117,123.66
40,2017-03-10T01:45:00Z,111.486,13.269,1.116,1.116,123.66
41,2017-03-10T02:00:00Z,111.492,13.076,1.117,1.117,123.66
42,2017-03-10T02:15:00Z,111.48,12.98,1.115,1.115,123.66
43,2017-03-10T02:30:00Z,111.459,12.98,1.113,1.113,123.65
44,2017-03-10T02:45:00Z,111.469,12.98,1.114,1.114,123.65
45,2017-03-10T03:00:00Z,111.457,12.883,1.113,1.113,123.65
46,2017-03-10T03:15:00Z,111.438,12.98,1.111,1.111,123.65
47,2017-03-10T03:30:00Z,111.459,12.98,1.113,1.113,123.65
48,2017-03-10T03:45:00Z,111.42,13.076,1.109,1.109,123.65
49,2017-03-10T04:00:00Z,111.422,13.173,1.11,1.11,123.65
50,2017-03-10T04:15:00Z,111.414,13.269,1.109,1.109,123.65
51,2017-03-10T04:30:00Z,111.426,13.365,1.11,1.11,123.65
52,2017-03-10T04:45:00Z,111.447,13.365,1.113,1.113,123.65
53,2017-03-10T05:00:00Z,111.455,13.269,1.113,1.113,123.65
54,2017-03-10T05:15:00Z,111.465,13.269,1.114,1.114,123.65
55,2017-03-10T05:30:00Z,111.445,13.269,1.112,1.112,123.65
56,2017-03-10T05:45:00Z,111.445,13.269,1.112,1.112,123.65
57,2017-03-10T06:00:00Z,111.434,13.269,1.111,1.111,123.65
58,2017-03-10T06:15:00Z,111.447,13.365,1.113,1.113,123.65
59,2017-03-10T06:30:00Z,111.47,13.461,1.115,1.115,123.66
60,2017-03-10T06:45:00Z,111.48,13.461,1.116,1.116,123.66
61,2017-03-10T07:00:00Z,111.48,13.461,1.116,1.116,123.66
62,2017-03-10T07:15:00Z,111.459,13.461,1.114,1.114,123.65
63,2017-03-10T07:30:00Z,111.501,13.461,1.118,1.118,123.66
64,2017-03-10T07:45:00Z,111.544,13.558,1.123,1.123,123.66
65,2017-03-10T08:00:00Z,111.544,13.558,1.123,1.123,123.66
66,2017-03-10T08:15:00Z,111.556,13.654,1.124,1.124,123.66
67,2017-03-10T08:30:00Z,111.565,13.558,1.125,1.125,123.67
68,2017-03-10T08:45:00Z,111.575,13.558,1.126,1.126,123.67
69,2017-03-10T09:00:00Z,111.573,13.461,1.126,1.126,123.67
70,2017-03-10T09:15:00Z,111.571,13.365,1.125,1.125,123.67
71,2017-03-10T09:30:00Z,111.558,13.269,1.124,1.124,123.66
72,2017-03-10T09:45:00Z,111.579,13.269,1.126,1.126,123.67
73,2017-03-10T10:00:00Z,111.577,13.173,1.125,1.125,123.67
74,2017-03-10T10:15:00Z,111.567,13.173,1.124,1.124,123.66
75,2017-03-10T10:30:00Z,111.564,13.076,1.124,1.124,123.66
76,2017-03-10T10:45:00Z,111.544,13.076,1.122,1.122,123.66
77,2017-03-10T11:00:00Z,111.554,13.076,1.123,1.123,123.66
78,2017-03-10T11:15:00Z,111.546,13.173,1.122,1.122,123.66
79,2017-03-10T11:30:00Z,111.536,13.173,1.121,1.121,123.66
80,2017-03-10T11:45:00Z,111.505,13.173,1.118,1.118,123.66
81,2017-03-10T12:00:00Z,111.494,13.173,1.117,1.117,123.66
82,2017-03-10T12:15:00Z,111.474,13.173,1.115,1.115,123.66
83,2017-03-10T12:30:00Z,111.453,13.173,1.113,1.113,123.65
84,2017-03-10T12:45:00Z,111.412,13.173,1.109,1.109,123.65
85,2017-03-10T13:00:00Z,111.381,13.173,1.105,1.105,123.65
86,2017-03-10T13:15:00Z,111.381,13.173,1.105,1.105,123.65
87,2017-03-10T13:30:00Z,111.364,13.365,1.104,1.104,123.64
88,2017-03-10T13:45:00Z,111.348,13.558,1.103,1.103,123.64
89,2017-03-10T14:00:00Z,111.344,13.365,1.102,1.102,123.64
90,2017-03-10T14:15:00Z,111.327,13.076,1.1,1.1,123.64
91,2017-03-10T14:30:00Z,111.313,12.883,1.098,1.098,123.64
92,2017-03-10T14:45:00Z,111.278,13.173,1.095,1.095,123.64
93,2017-03-10T15:00:00Z,111.282,13.846,1.096,1.096,123.64
94,2017-03-10T15:15:00Z,111.269,13.75,1.095,1.095,123.64
95,2017-03-10T15:30:00Z,111.257,13.654,1.094,1.094,123.63
96,2017-03-10T15:45:00Z,111.236,13.654,1.091,1.091,123.63
97,2017-03-10T16:00:00Z,111.224,13.558,1.09,1.09,123.63
98,2017-03-10T16:15:00Z,111.212,13.461,1.089,1.089,123.63
99,2017-03-10T16:30:00Z,111.201,13.461,1.088,1.088,123.63
100,2017-03-10T16:45:00Z,111.199,13.365,1.087,1.087,123.63
101,2017-03-10T17:00:00Z,111.191,13.461,1.087,1.087,123.63
102,2017-03-10T17:15:00Z,111.193,13.558,1.087,1.087,123.63
103,2017-03-10T17:30:00Z,111.191,13.461,1.087,1.087,123.63
104,2017-03-10T17:45:00Z,111.181,13.461,1.086,1.086,123.63
105,2017-03-10T18:00:00Z,111.191,13.461,1.087,1.087,123.63
106,2017-03-10T18:15:00Z,111.203,13.558,1.088,1.088,123.63
107,2017-03-10T18:30:00Z,111.203,13.558,1.088,1.088,123.63
108,2017-03-10T18:45:00Z,111.209,13.365,1.088,1.088,123.63
109,2017-03-10T19:00:00Z,111.218,13.269,1.089,1.089,123.63
110,2017-03-10T19:15:00Z,111.218,13.269,1.089,1.089,123.63
111,2017-03-10T19:30:00Z,111.207,13.269,1.088,1.088,123.63
112,2017-03-10T19:45:00Z,111.207,13.269,1.088,1.088,123.63
113,2017-03-10T20:00:00Z,111.199,13.365,1.087,1.087,123.63
114,2017-03-10T20:15:00Z,111.189,13.365,1.086,1.086,123.63
115,2017-03-10T20:30:00Z,111.212,13.461,1.089,1.089,123.63
116,2017-03-10T20:45:00Z,111.214,13.558,1.089,1.089,123.63
117,2017-03-10T21:00:00Z,111.234,13.558,1.091,1.091,123.63
118,2017-03-10T21:15:00Z,111.234,13.558,1.091,1.091,123.63
119,2017-03-10T21:30:00Z,111.255,13.558,1.093,1.093,123.63
120,2017-03-10T21:45:00Z,111.263,13.461,1.094,1.094,123.63
121,2017-03-10T22:00:00Z,111.292,13.365,1.097,1.097,123.64
122,2017-03-10T22:15:00Z,111.29,13.269,1.096,1.096,123.64
123,2017-03-10T22:30:00Z,111.288,13.173,1.096,1.096,123.64
124,2017-03-10T22:45:00Z,111.288,13.173,1.096,1.096,123.64
125,2017-03-10T23:00:00Z,111.284,13.461,1.096,1.096,123.64
126,2017-03-10T23:15:00Z,111.282,13.846,1.096,1.096,123.64
127,2017-03-10T23:30:00Z,111.263,13.942,1.095,1.095,123.64
128,2017-03-10T23:45:00Z,111.265,13.558,1.094,1.094,123.63
129,2017-03-11T00:00:00Z,111.273,13.461,1.095,1.095,123.64
130,2017-03-11T00:15:00Z,111.271,13.365,1.095,1.095,123.64
131,2017-03-11T00:30:00Z,111.261,13.365,1.094,1.094,123.63
132,2017-03-11T00:45:00Z,111.284,13.461,1.096,1.096,123.64
133,2017-03-11T01:00:00Z,111.288,13.654,1.097,1.097,123.64
134,2017-03-11T01:15:00Z,111.261,13.846,1.094,1.094,123.63
135,2017-03-11T01:30:00Z,111.271,13.846,1.095,1.095,123.64
136,2017-03-11T01:45:00Z,111.259,13.75,1.094,1.094,123.63
137,2017-03-11T02:00:00Z,111.273,13.461,1.095,1.095,123.64
138,2017-03-11T02:15:00Z,111.28,13.269,1.095,1.095,123.64
139,2017-03-11T02:30:00Z,111.29,13.269,1.096,1.096,123.64
140,2017-03-11T02:45:00Z,111.28,13.269,1.095,1.095,123.64
141,2017-03-11T03:00:00Z,111.28,13.269,1.095,1.095,123.64
142,2017-03-11T03:15:00Z,111.3,13.269,1.097,1.097,123.64
143,2017-03-11T03:30:00Z,111.28,13.269,1.095,1.095,123.64
144,2017-03-11T03:45:00Z,111.271,13.365,1.095,1.095,123.64
145,2017-03-11T04:00:00Z,111.28,13.269,1.095,1.095,123.64
146,2017-03-11T04:15:00Z,111.269,13.269,1.094,1.094,123.63
147,2017-03-11T04:30:00Z,111.269,13.269,1.094,1.094,123.63
148,2017-03-11T04:45:00Z,111.282,13.365,1.096,1.096,123.64
149,2017-03-11T05:00:00Z,111.286,13.558,1.096,1.096,123.64
150,2017-03-11T05:15:00Z,111.298,13.654,1.098,1.098,123.64
151,2017-03-11T05:30:00Z,111.3,13.75,1.098,1.098,123.64
152,2017-03-11T05:45:00Z,111.319,13.654,1.1,1.1,123.64
153,2017-03-11T06:00:00Z,111.296,13.558,1.097,1.097,123.64
154,2017-03-11T06:15:00Z,111.294,13.461,1.097,1.097,123.64
155,2017-03-11T06:30:00Z,111.292,13.365,1.097,1.097,123.64
156,2017-03-11T06:45:00Z,111.302,13.365,1.098,1.098,123.64
157,2017-03-11T07:00:00Z,111.321,13.269,1.099,1.099,123.64
158,2017-03-11T07:15:00Z,111.331,13.269,1.101,1.101,123.64
159,2017-03-11T07:30:00Z,111.356,13.461,1.103,1.103,123.64
160,2017-03-11T07:45:00Z,111.401,13.654,1.108,1.108,123.65
161,2017-03-11T08:00:00Z,111.414,13.75,1.11,1.11,123.65
162,2017-03-11T08:15:00Z,111.414,13.75,1.11,1.11,123.65
163,2017-03-11T08:30:00Z,111.424,13.75,1.111,1.111,123.65
164,2017-03-11T08:45:00Z,111.414,13.75,1.11,1.11,123.65
165,2017-03-11T09:00:00Z,111.432,13.654,1.111,1.111,123.65
166,2017-03-11T09:15:00Z,111.443,13.654,1.113,1.113,123.65
167,2017-03-11T09:30:00Z,111.432,13.654,1.111,1.111,123.65
168,2017-03-11T09:45:00Z,111.437,13.846,1.112,1.112,123.65
169,2017-03-11T10:00:00Z,111.461,14.038,1.115,1.115,123.66
170,2017-03-11T10:15:00Z,111.478,13.846,1.116,1.116,123.66
171,2017-03-11T10:30:00Z,111.47,13.461,1.115,1.115,123.66
172,2017-03-11T10:45:00Z,111.455,13.269,1.113,1.113,123.65
173,2017-03-11T11:00:00Z,111.443,13.173,1.112,1.112,123.65
174,2017-03-11T11:15:00Z,111.453,13.173,1.113,1.113,123.65
175,2017-03-11T11:30:00Z,111.443,13.173,1.112,1.112,123.65
176,2017-03-11T11:45:00Z,111.422,13.173,1.11,1.11,123.65
177,2017-03-11T12:00:00Z,111.416,13.365,1.109,1.109,123.65
178,2017-03-11T12:15:00Z,111.399,13.558,1.108,1.108,123.65
179,2017-03-11T12:30:00Z,111.401,13.654,1.108,1.108,123.65
180,2017-03-11T12:45:00Z,111.401,13.654,1.108,1.108,123.65
181,2017-03-11T13:00:00Z,111.391,13.654,1.107,1.107,123.65
182,2017-03-11T13:15:00Z,111.35,13.654,1.103,1.103,123.64
183,2017-03-11T13:30:00Z,111.352,13.75,1.103,1.103,123.64
184,2017-03-11T13:45:00Z,111.313,13.846,1.1,1.1,123.64
185,2017-03-11T14:00:00Z,111.315,13.942,1.1,1.1,123.64
186,2017-03-11T14:15:00Z,111.313,13.846,1.1,1.1,123.64
187,2017-03-11T14:30:00Z,111.311,13.75,1.099,1.099,123.64
188,2017-03-11T14:45:00Z,111.28,13.269,1.095,1.095,123.64
189,2017-03-11T15:00:00Z,111.273,12.98,1.094,1.094,123.63
190,2017-03-11T15:15:00Z,111.282,12.883,1.095,1.095,123.64
191,2017-03-11T15:30:00Z,111.24,12.883,1.091,1.091,123.63
192,2017-03-11T15:45:00Z,111.199,12.883,1.086,1.086,123.63
193,2017-03-11T16:00:00Z,111.183,13.076,1.085,1.085,123.62
194,2017-03-11T16:15:00Z,111.16,13.461,1.083,1.083,123.62
195,2017-03-11T16:30:00Z,111.162,13.558,1.084,1.084,123.62
196,2017-03-11T16:45:00Z,111.143,13.654,1.082,1.082,123.62
197,2017-03-11T17:00:00Z,111.112,13.654,1.079,1.079,123.62
198,2017-03-11T17:15:00Z,111.135,13.75,1.081,1.081,123.62
199,2017-03-11T17:30:00Z,111.125,13.75,1.08,1.08,123.62
200,2017-03-11T17:45:00Z,111.143,13.654,1.082,1.082,123.62
201,2017-03-11T18:00:00Z,111.15,13.461,1.082,1.082,123.62
202,2017-03-11T18:15:00Z,111.16,13.461,1.083,1.083,123.62
203,2017-03-11T18:30:00Z,111.187,13.75,1.087,1.087,123.63
204,2017-03-11T18:45:00Z,111.195,14.134,1.088,1.088,123.63
205,2017-03-11T19:00:00Z,111.208,14.23,1.09,1.09,123.63
206,2017-03-11T19:15:00Z,111.224,14.517,1.092,1.092,123.63
207,2017-03-11T19:30:00Z,111.228,14.709,1.092,1.092,123.63
208,2017-03-11T19:45:00Z,111.251,14.804,1.095,1.095,123.64
209,2017-03-11T20:00:00Z,111.243,14.421,1.093,1.093,123.63
