"","Date","WSEmin","WSEmean","WSEmax","precip_event_mm","precip_acc_mm","VOLmin","VOLmean","VOLmax","SAmin","SAmean","SAmax","PCPacft","VOLchg","SAchg","AcPerDay"
"1",2017-11-06,121.88,121.889772727273,121.9,0,4.064,8.95499658864535,9.1437683433724,9.34225435931897,5.869979275,5.90006571275568,5.9299022375,0,0,0,0
"2",2017-11-07,121.88,121.888333333333,121.9,0,4.064,8.95499658864535,9.11597638136748,9.34225435931897,5.869979275,5.89561384473958,5.9299022375,0,0,0,0
"3",2017-11-08,121.88,121.881354166667,121.89,0,4.064,8.95499658864535,8.98115082967307,9.14813559931161,5.869979275,5.87415367639323,5.90080562375,0,-0.194118760007354,-0.0290966137500002,-0.0328969927811299
"4",2017-11-09,121.88,121.8803125,121.89,0.254,4.318,8.95499658864535,8.96103218272867,9.14813559931161,5.869979275,5.87094259839844,5.90080562375,0.144833337968,0,0,0
"5",2017-11-10,121.87,121.8759375,121.88,0,4.318,8.76285434450838,8.87693880196471,8.95499658864535,5.83989424125,5.85775723003906,5.869979275,0,-0.193139010666265,-0.0308263487499998,-0.0329028437100001
"6",2017-11-11,121.86,121.870104166667,121.88,0,4.318,8.57188418800919,8.76489245395682,8.95499658864535,5.80746171,5.84013426772135,5.869979275,0,0,0,0
"7",2017-11-12,121.86,121.867604166667,121.87,0,4.318,8.57188418800919,8.71710107784712,8.76285434450838,5.80746171,5.83212394730469,5.83989424125,0,-0.192142244136965,-0.0300850337499998,-0.0329016650301253
"8",2017-11-13,121.86,121.861684210526,121.87,0,4.318,8.57188418800919,8.604047582788,8.76285434450838,5.80746171,5.81292403105263,5.83989424125,0,0,0,0
"9",2017-11-14,121.86,121.860208333333,121.87,0,4.318,8.57188418800919,8.57586273293625,8.76285434450838,5.80746171,5.80813738773437,5.83989424125,0,0,0,0
"10",2017-11-15,121.85,121.859479166667,121.87,0,4.318,8.38184644044064,8.56199610124968,8.76285434450838,5.7752145075,5.80578409871094,5.83989424125,0,0,0,0
"11",2017-11-16,121.85,121.855,121.87,5.334,9.652,8.38184644044064,8.47691387719005,8.76285434450838,5.7752145075,5.79134776128906,5.83989424125,3.041500097328,0,0,0
"12",2017-11-17,121.86,121.8646875,121.87,6.604,16.256,8.57188418800919,8.66140144886818,8.76285434450838,5.80746171,5.82266445902344,5.83989424125,3.765666787168,0,0,0
"13",2017-11-18,121.86,121.860208333333,121.87,0,16.256,8.57188418800919,8.57586273293625,8.76285434450838,5.80746171,5.80813738773437,5.83989424125,0,0,0,0
"14",2017-11-19,121.85,121.86,121.87,0,16.256,8.38184644044064,8.57189390060221,8.76285434450838,5.7752145075,5.80746364050781,5.83989424125,0,0,0,0
"15",2017-11-20,121.85,121.857083333333,121.86,0,16.256,8.38184644044064,8.51645651163503,8.57188418800919,5.7752145075,5.7980562759375,5.80746171,0,-0.190970156499196,-0.0324325312500005,-0.0328835842637344
"16",2017-11-21,121.85,121.853333333333,121.86,0,16.256,8.38184644044064,8.44519235629682,8.57188418800919,5.7752145075,5.785963575,5.80746171,0,0,0,0
"17",2017-11-22,121.85,121.850833333333,121.86,0,16.256,8.38184644044064,8.39768291940469,8.57188418800919,5.7752145075,5.777901774375,5.80746171,0,0,0,0
"18",2017-11-23,121.85,121.850104166667,121.86,0,16.256,8.38184644044064,8.38382600031115,8.57188418800919,5.7752145075,5.77555041585938,5.80746171,0,0,0,0
"19",2017-11-24,121.85,121.85,121.85,0,16.256,8.38184644044064,8.38184644044064,8.38184644044064,5.7752145075,5.7752145075,5.7752145075,0,-0.190037747568546,-0.0322472024999998,-0.0329057470197432
"20",2017-11-25,121.84,121.848645833333,121.85,0,16.256,8.19285845932195,8.35625431799748,8.38184644044064,5.74167000375,5.77067202261719,5.7752145075,0,0,0,0
"21",2017-11-26,121.84,121.8425,121.85,0,16.256,8.19285845932195,8.24010545460162,8.38184644044064,5.74167000375,5.7500561296875,5.7752145075,0,0,0,0
"22",2017-11-27,121.84,121.849479166667,121.85,6.096,22.352,8.19285845932195,8.37200331642404,8.38184644044064,5.74167000375,5.77346739792969,5.7752145075,3.476000111232,0,0,0
